alpha,beta,gamma,precision,recall,f1
0.4,0.35,0.25,0.044000000000000004,0.07509301809301809,0.055487598668666226
0.4,0.45,0.14999999999999997,0.044000000000000004,0.07509301809301809,0.055487598668666226
0.5,0.45,0.04999999999999999,0.04200000000000001,0.07366444666444666,0.053497973649283465
0.6,0.35,0.050000000000000044,0.04200000000000001,0.07366444666444666,0.053497973649283465
0.2,0.35,0.45000000000000007,0.042,0.07236408036408036,0.05315115315255856
0.5,0.35,0.15000000000000002,0.042,0.07223587523587524,0.05311653197635721
0.2,0.15,0.65,0.04,0.07003196803196803,0.05091754280837465
0.5,0.25,0.25,0.04,0.06823587523587524,0.05043494134429703
0.3,0.45,0.24999999999999994,0.04,0.06723587523587522,0.050159240152035836
0.3,0.35,0.35,0.04,0.06723587523587524,0.050159240152035836
0.2,0.45,0.35000000000000003,0.04,0.06656920856920857,0.04997256484341963
0.6,0.25,0.15000000000000002,0.04,0.0660930180930181,0.04983778897500712
0.2,0.25,0.55,0.038000000000000006,0.0686033966033966,0.04890893074688408
0.3,0.25,0.44999999999999996,0.038000000000000006,0.0686033966033966,0.04890893074688408
0.4,0.25,0.35,0.038000000000000006,0.06580730380730382,0.04817922155688623
0.3,0.15,0.5499999999999999,0.036000000000000004,0.0646033966033966,0.046235462345090565
0.6,0.15,0.25,0.034,0.06293672993672994,0.04414939144832893
0.4,0.15,0.44999999999999996,0.032,0.05984149184149185,0.041700710659898485
0.5,0.15,0.35,0.032,0.057936729936729936,0.04122843601895735
